club_missing;suggested_match;similarity;countries_considered
CS Turnu Severin;Turnu Severin;95.0;ROM
Extremadura UD;Extremadura;95.0;ESP
AFC Wimbledon;Wimbledon;95.0;ENG
A. Klagenfurt;Klagenfurt;95.0;AUT
AFC Eskilstuna;Eskilstuna;95.0;SWE
FC Voluntari;Voluntari;95.0;ROM
Ajax ;Ajax;95.0;NED
Andorra;Andorra CF;95.0;ESP
FC Botosani;Botosani;95.0;ROM
GKS Belchatow;Belchatow;95.0;POL
FC Hermannstadt;Hermannstadt;95.0;ROM
Feyenoord ;Feyenoord;95.0;NED
FC Rapid Bucuresti;Rapid Bucuresti;95.0;ROM
A. Lustenau;Lustenau;95.0;AUT
Utrecht ;Utrecht;95.0;NED
Vitesse ;Vitesse;95.0;NED
Volos NFC;NFC Volos;95.0;GRE
Sarpsborg 08;Sarpsborg;95.0;NOR
Roda ;Roda;95.0;NED
RWD Molenbeek;Molenbeek;95.0;BEL
Piacenza ;Piacenza;95.0;ITA
Groningen ;Groningen;95.0;NED
Krasnodar;FC Krasnodar;95.0;RUS
Hvidovre IF;Hvidovre;95.0;DEN
Inverness C;Inverness;95.0;SCO
Heracles ;Heracles;95.0;NED
U Craiova 1948;Craiova 1948;95.0;ROM
Yeni Malatyaspor;Malatyaspor;95.0;TUR
Willem II ;Willem II;95.0;NED
SKA Khabarovsk;Khabarovsk;95.0;RUS
Randers FC;Randers;95.0;DEN
Ostersunds;Ostersund;94.73684210526316;SWE
Goteborg;Goeteborg;94.11764705882352;SWE
Kallithea;Kalithea;94.11764705882352;GRE
Varberg;Varbergs;93.33333333333333;SWE
Mjallby;Mjaellby;93.33333333333333;SWE
HamKam;Ham-Kam;92.3076923076923;NOR
Orebro;Oerebro;92.3076923076923;SWE
Grodig;Groedig;92.3076923076923;AUT
Hacken;Haecken;92.3076923076923;SWE
Ankaragucu;Ankaraguecue;90.9090909090909;TUR
Oster;Oester;90.9090909090909;SWE
Sonderjyske;SonderjyskE;90.9090909090909;DEN
FeralpiSalo;Feralpisalo;90.9090909090909;ITA
Arsenal Tula;Tula;90.0;RUS
Puszcza;Puszcza Niepolomice;90.0;POL
Poli Iasi;Iasi;90.0;ROM
Gaz Metan Medias;Gaz Metan;90.0;ROM
FC Brasov;Brasov;90.0;ROM
Farul Constanta;Farul;90.0;ROM
FK Rostov;Rostov;90.0;RUS
GKS Katowice;Katowice;90.0;POL
Calarasi;Dunarea Calarasi;90.0;ROM
Arka Gdynia;Arka;90.0;POL
Academica Clinceni;Clinceni;90.0;ROM
Amkar;Amkar Perm;90.0;RUS
Neustadt;Wiener Neustadt;90.0;AUT
Leczna;Gornik Leczna;90.0;POL
Korona Kielce;Korona;90.0;POL
Ilves;Ilves Tampere;90.0;FIN
Khimki;FC Khimki;90.0;RUS
Honka;Honka Espoo;90.0;FIN
Gornik Zabrze;Gornik;90.0;POL
HJK;HJK Helsinki;90.0;FIN
Lech Poznan;Lech;90.0;POL
LKS Lodz;LKS;90.0;POL
Legnica;Miedz Legnica;90.0;POL
Mouscron-Peruwelz;Mouscron;90.0;BEL
Odd;Odd Grenland;90.0;NOR
OFI Crete;OFI;90.0;GRE
Olympiakos Volou;Olympiakos;90.0;GRE
Wisla Plock;Plock;90.0;POL
TPS;TPS Turku;90.0;FIN
Sparta;Sparta Rotterdam;90.0;NED
Poli Timisoara;Timisoara;90.0;ROM
Petrolul;Petrolul Ploiesti;90.0;ROM
Otelul;Otelul Galati;90.0;ROM
Osters;Ostersund;90.0;SWE
Pogon Szczecin;Pogon;90.0;POL
Radomiak Radom;Radomiak;90.0;POL
Roda JC;Roda;90.0;NED
Rouen;Quevilly Rouen;90.0;FRA
St. Polten;St Poelten;90.0;AUT
Slask Wroclaw;Slask;90.0;POL
Sepsi Sf. Gheorghe;Sepsi;90.0;ROM
Sirius;IK Sirius;90.0;SWE
Ruch Chorzow;Ruch;90.0;POL
Zaglebie Sosnowiec;Sosnowiec;90.0;POL
Wolfsberger AC;Wolfsberg;90.0;AUT
Warta Poznan;Warta;90.0;POL
Widzew Lodz;Widzew;90.0;POL
Viitorul Constanta;Viitorul;90.0;ROM
Waasland-Beveren;Beveren;90.0;BEL
Sandecja Nowy S.;Sandecja Nowy Sacz;88.23529411764706;POL
Din. Bucuresti;Dinamo Bucuresti;86.66666666666667;ROM
Bodo/Glimt;Bodoe Glimt;85.71428571428572;NOR
Jonkopings;Joenkoeping;85.71428571428572;SWE
FC Arges;Arges Pitesti;85.5;ROM
U. Cluj;Universitatea Cluj;85.5;ROM
